userID,group,method,verified
mpr_2fPBr61AwPEBm9CwkWdBkMdOqyh,A,Sms,1
mpr_2fPCPO9kvnrihKZ8ZTsdMoU5XAS,A,Sms,1
mpr_2fPBdMGe8UxXV822PLGG4yVtNEq,C,Whatsapp,1
mpr_2fPD4pOPOdSZT2TvquzQT6nD1UC,A,Sms,1
mpr_2fPEGeNMA6h2pLX6qevkwgvxPux,A,Sms,1
mpr_2fPFndbvUzMTJq3QvswdHFayajy,A,Sms,1
mpr_2fPFL3qv9f3u5V7GOXq4tI1so92,B,Sms,1
mpr_2fPFyKYHSHCxj9Rkmcs7e5XJ2g5,A,Sms,1
mpr_2fPIF2bFdW3MDqWFcplxAHTJYND,A,Sms,1
mpr_2fE2WTQWDQNvGLrX4yYbXUIbhaF,B,Sms,1
mpr_2fE3bSRpQTJjTfpEU5NLz4DaiYs,B,Sms,1
mpr_2fE4Zs2YzipNKBxfihW1CfIEKzW,A,Sms,1
mpr_2fE4tz8FZaWRMBfLQPaPIQzqpHY,A,Sms,1
mpr_2fE67vifISq29hufxfUYkTrAv1P,B,Sms,1
mpr_2fE756w5sibKCUCnQLPhFNORZxg,B,Sms,1
mpr_2fE7SpA1o4WuxTJk8jhqKSBUWON,B,Sms,1
mpr_2fE7TZc3V2LZ9RMpNfcsidHd3ky,A,Sms,1
mpr_2fE9fmR2luFMdiI6zdL6J36PwOq,A,Sms,1
mpr_2fECCfPyEXNWD1v1QMOsgEunO6E,A,Sms,1
mpr_2fECjNhgV2b8eTocsRHoOXvxCEK,B,Sms,1
mpr_2fEDBDyLlrJ9vIGWmp0B42FPPov,B,Sms,1
mpr_2fEC6nLvEuIfRsitYmiFm4lmwDX,A,Sms,1
mpr_2fEEgrcpp7ibOVEcIMOGkmIhJQ9,A,Sms,1
mpr_2fEEnLxBFPXJSQ7rNsyO9CSx7Mo,C,Sms,1
mpr_2fEFN5psRBkIvfV4fypilAtGriR,C,Sms,1
mpr_2fEGdJGKyd8IzygEoxId0fQwE5Q,A,Sms,1
mpr_2fEHImgTS5KPPX1Xwzs8gsdOl7P,A,Sms,1
mpr_2fEInjTz4LWK94otE9TBe5JV1Ha,C,Whatsapp,1
mpr_2fEKdXaRWhonL2p21zdzeM89e7d,B,Whatsapp,1
mpr_2fENlxes2zaGwjMSQRfWZENk2oq,B,Sms,1
mpr_2fEOVjXHStxtJjGOAiriNxBiYEU,A,Sms,1
mpr_2fEPIC7HRaHJC8or0VEQHLsN3FU,C,Whatsapp,1
mpr_2fEPkZ83g4OehXnu6DfKO8zIdd0,C,Whatsapp,0
mpr_2fEPxGSXR8kg9LPqDNBgjXqM55C,B,Whatsapp,1
mpr_2fEQA7pxx1eppMgPxPJFY98U9Wd,C,Whatsapp,1
